"Goldschmidt Winery, US","631 Healdsburg Ave, Healdsburg, CA 95448, USA","[38.617024, -122.87241]",
"Greyscale Winery, US",,,
"Chí¢teau Lafont Menaut Winery, France","33650 Martillac, France","[44.7123772, -0.5622389]",
"Maray Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Communication Block Winery, US",,,
"Brilliant Mistake Winery, US",,,
"Clement et Florian Berthier Winery, France",France,"[46.227638, 2.213749]",
"Domaine Matthias et Emile Roblin Winery, France",,,
"Domaine Pellí© Winery, France","18220 Morogues, France","[47.2402753, 2.5959433]",
"Castrucci Winery, US",United States,"[37.09024, -95.712891]",
"Garces Silva Winery, Chile","G- - Chile 818, San Antonio, Regií_n de Valparaí_so, Chile","[-33.6823761, -71.4973869]",
"Tormentoso Winery, South Africa",South Africa,"[-30.559482, 22.937506]",
"McCrea Cellars Winery, US",,,
"Mi Terruí±o Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Nuna Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Ormilles Winery, France",France,"[46.227638, 2.213749]",
"Champ de RíÈves Winery, US",,,
"Seven Deadly Zins Winery, US","4580 CA-12, Lodi, CA 95242, USA","[38.1157607, -121.3721358]",
"Hooker Winery, US",United States,"[37.09024, -95.712891]",
"Bello Family Vineyards, US",,,
"Domaine Laurier Winery, US",United States,"[37.09024, -95.712891]",
"Poema Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Rovisco Garcia Winery, Portugal",,,
"TintoNegro Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"SignoSeis Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Fonseca Winery, Portugal","R. Josí© Augusto Coelho 11/13, 2925-942 Azeití£o, Portugal","[38.5181549, -9.0154448]",
"Virage Winery, US",,,
"Silver Buckle Winery, US","1680 Silverado Trail S, St Helena, CA 94574, USA","[38.4885429, -122.4071289]",
"Vistamar Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Captíére Winery, US","3299 Bennett Ln, Calistoga, CA 94515, USA","[38.5996274, -122.6106207]",
"Creacií_n Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Grati Winery, Italy",Italy,"[41.87194, 12.56738]",
"Dominio del Viento Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Alto Los Romeros Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Zerran Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Scratchpad Winery, US",,,
"Trencalí_s Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Martino Winery, Argentina","990 NW Brooks St, Bend, OR 97701, USA","[44.0596817, -121.3139235]",
"Agricola Querciabella Winery, Italy","Via di Barbiano, 17, 50022 Greve in Chianti FI, Italy","[43.5713764, 11.3413773]",
"Andretti Winery, US","4162 Big Ranch Rd, Napa, CA 94558, USA","[38.355899, -122.305159]",
"Prinz Salm Winery, Germany",Germany,"[51.165691, 10.451526]",
"Root:1 Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Ryan Cochrane Winery, US",,,
"Angelo Negro & Figli Winery, Italy","Frazione Sant'Anna, 1, 12040 Monteu Roero CN, Italy","[44.7776732, 7.966933300000001]",
"Firefly Night Winery, US",,,
"Chí¢teau Montrose Winery, France","3 Avenue des Vignolles, 33180 Saint-EstíÂphe, France","[45.2465895, -0.7617695]",
"Last Light Winery, US",,,
"L'original French Kiss Winery, France",France,"[46.227638, 2.213749]",
"Chí¢teau Saint Baillon Winery, France",France,"[46.227638, 2.213749]",
"Voiturette Winery, France",France,"[46.227638, 2.213749]",
"Bodega Cuarto Dominio Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Belle Made For You Winery, France",France,"[46.227638, 2.213749]",
"La Vieille Ferme Winery, France","Chemin de Beaucastel, 84350 Courthí©zon, France","[44.10485200000001, 4.8521481]",
"Epilogo Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Windy Canyon Winery, US","11920 US-12, Lowden, WA 99360, USA","[46.0564069, -118.5834968]",
"Black's Station Winery, US","12300 County Rd 92B, Zamora, CA 95698, USA","[38.7599314, -121.925328]",
"Chí¢teau du CíÂdre Winery, France","Bru, 46700 Vire-sur-Lot, France","[44.4862038, 1.1085649]",
"Dr. Volkmar Winery, Germany",Germany,"[51.165691, 10.451526]",
"Cruz Alta Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Ricardo Santos Winery, Argentina","Maza s/n y Manuel A. Saenz, Russel, M5517 Maipí_, Mendoza, Argentina","[-33.008771, -68.81289799999999]",
"Alma del Sur Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Chí¢teau Haut-Gelineau Winery, France",France,"[46.227638, 2.213749]",
"Taj Winery, US","14831 Pierce Rd, Saratoga, CA 95070, USA","[37.2601024, -122.0647232]",
"flipflop Winery, US",,,
"a-non-ah-mus Winery, US",,,
"Newton Winery, US","2555 Madrona Ave, St Helena, CA 94574, USA","[38.500989, -122.497092]",
"Toscolo Winery, Italy",Italy,"[41.87194, 12.56738]",
"Fattoria Valacchi Winery, Italy",Italy,"[41.87194, 12.56738]",
"Rule of Three Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"12 Linajes Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Anier Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Artezin Winery, US","4411 Redwood Rd, Napa, CA 94558, USA","[38.3380587, -122.3900926]",
"Le Grand Noir Winery, France",France,"[46.227638, 2.213749]",
"Martinsancho Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Custard Winery, US",,,
"Cantina Produttori Cortaccia Winery, Italy","Via del Vino, 23, 39040 Cortaccia sulla strada del vino BZ, Italy","[46.3049292, 11.2198737]",
"VML Winery, US","5610 Dry Creek Rd, Healdsburg, CA 95448, USA","[38.6799335, -122.9421883]",
"Ravenswood Winery, US","18701 Gehricke Rd, Sonoma, CA 95476, USA","[38.3008793, -122.4415462]",
"Acordeí_n Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Chí¢teau d'Arlay Winery, France",,,
"Tiago Teles Winery, Portugal",Portugal,"[39.39987199999999, -8.224454]",
"Marquis de la Tour Winery, France","19 Rue L_opold Palustre, 49412 Saumur, France","[47.271741, -0.106906]",
"Anemoi Winery, US",,,
"Delmas Winery, US",,,
"Tussock Jumper Winery, South Africa",South Africa,"[-30.559482, 22.937506]",
"Kitchen Sink Winery, US","5050 US-129, Cleveland, GA 30528, USA","[34.636856, -83.82958300000001]",
"Mauricio Lorca Winery, Argentina","5509 de, Brandsen 1039, Mendoza, Argentina","[-33.06527800000001, -68.8962835]",
"Bodega Las Caí±itas Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Coniglio Winery, US",United States,"[37.09024, -95.712891]",
"Fairvalley Winery, South Africa","Suid-Agter-Paarl Rd, Suider-Paarl, 7646, South Africa","[-33.77174530000001, 18.9242346]",
"Castello Banfi Winery, Italy","Castello di Poggio alle Mura, 53024 Montalcino SI, Italy","[42.980621, 11.400659]",
"Les Astí©ries Winery, France","33330 Vignonet, France","[44.8529627, -0.1575816]",
"Punch Winery, US",,,
"Montefrasco Winery, Italy",Italy,"[41.87194, 12.56738]",
"Altos de Cristimil Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Pigro Winery, Italy",Italy,"[41.87194, 12.56738]",
"Haarth Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Via Revolucionaria Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Finca Vieja Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Jeunesse Winery, US","3201 Camino Del Sol, Oxnard, CA 93030, USA","[34.2053663, -119.13042]",
"Domaine L. Chatelain Winery, France",France,"[46.227638, 2.213749]",
"Andrí© Guichot Winery, France",France,"[46.227638, 2.213749]",
"Gladium Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Middle Sister Winery, US",,,
"Vií±a La Fortuna Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Millaman Winery, Chile","Av. Quilí_n 7100, Penalolen, Peí±alolí©n, Regií_n Metropolitana, Chile","[-33.4985778, -70.56251929999999]",
"Quivet Cellars Winery, US",,,
"The Foundry Winery, South Africa",South Africa,"[-30.559482, 22.937506]",
"Serdonis Winery, US",United States,"[37.09024, -95.712891]",
"Shark Trust Winery, South Africa",South Africa,"[-30.559482, 22.937506]",
"Janzen Winery, US",,,
"Maison Jessiaume Winery, France","10 Rue de la Gare, 21590 Santenay, France","[46.9111604, 4.701288]",
"Padilla Erickson Winery, US",,,
"Force Majeure Winery, US","18720 142nd Ave NE, Woodinville, WA 98072, USA","[47.7631003, -122.1495286]",
"Mt. Brave Winery, US",,,
"Lawrelin Winery, US",,,
"Nacido del Quí_rum Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Gorman Winery, US","C500, 19501 144th Ave NE, Woodinville, WA 98072, United States","[47.769478, -122.150242]",
"Atlas Peak Winery, US","1761 Atlas Peak Rd, Napa, CA 94558, USA","[38.355496, -122.27018]",
"ZaHa Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Hubert Weber Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Chí¢teau Lestage Simon Winery, France",France,"[46.227638, 2.213749]",
"Clos Triguedina Winery, France","Lieu-dit ""Les poujols"", 46700 Vire-sur-Lot, France","[44.491819, 1.109538]",
"San Filippo di Giannelli Winery, Italy","53024 Montalcino, Province of Siena, Italy","[43.044797, 11.533591]",
"Smashberry Winery, US",,,
"Chí¢teau Baracan Winery, France",France,"[46.227638, 2.213749]",
"Pannier Winery, France","19 Rue Lí©opold Palustre, 49412 Saumur, France","[47.2713977, -0.1070052]",
"Avanthia Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Chí¢teau Manon la Lagune Winery, France",France,"[46.227638, 2.213749]",
"Misty Cove Winery, New Zealand",New Zealand,"[-40.900557, 174.885971]",
"Mogollon Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Von Der Leyen Winery, Germany",Germany,"[51.165691, 10.451526]",
"Pflí_cken Winery, Germany",Germany,"[51.165691, 10.451526]",
"Kris Winery, Italy",Italy,"[41.87194, 12.56738]",
"Ad Vivum Winery, US",,,
"Senses Winery, US","23837 US-385, Hill City, SD 57745, USA","[43.9497417, -103.5225896]",
"Sí©amus Wines, US",,,
"Agustinos Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Arbor Bench Vineyards, US",,,
"Chí¢teau Gardut Haut Cluzeau Winery, France",France,"[46.227638, 2.213749]",
"Chí¢teau La Fleur Ribeyrolles Winery, France",France,"[46.227638, 2.213749]",
"Brion Winery, US",,,
"Bernier Winery, France","19 Avenue du Gí©ní©ral de Gaulle, 51130 Vertus, France","[48.897503, 4.011438]",
"Ricordi Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Clí©ment Bosquet Winery, France",France,"[46.227638, 2.213749]",
"Vieira de Plata Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Egeo Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Vivanco Winery, Spain","Carretera Nacional, 232, 26330 Briones, La Rioja, Spain","[42.539426, -2.777571]",
"Chilcas Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Pinanfarina Winery, US",,,
"Red Guitar Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Peter Weber Winery, France",France,"[46.227638, 2.213749]",
"Galil Mountain Winery, Israel",Israel,"[33.0783652, 35.4484935]",
"Montespina Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Chí¢teau Maupague Winery, France","Miraval, 83570 Correns, France","[43.473178, 6.0368157]",
"Emblem Winery, US","8060 US-190, Rogers, TX 76569, USA","[30.99461, -97.2844397]",
"Nice Winery, US","2901 West Sam Houston Pkwy N C-260, Houston, TX 77043, USA","[29.820421, -95.565554]",
"Romain Bouchard Winery, France",France,"[46.227638, 2.213749]",
"Senda 66 Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Volteo Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Peza do Rei Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Shannon Winery, US","13888 Point Lakeview Rd, Lower Lake, CA 95457, USA","[38.9145445, -122.649436]",
"Spoto Winery, US",,,
"Vigne Guadagno Winery, Italy",Italy,"[41.87194, 12.56738]",
"Chí¢teau Vircoulon Winery, France",France,"[46.227638, 2.213749]",
"Domaine Charles Frey Winery, France",France,"[46.227638, 2.213749]",
"Maior de Mendoza Winery, Spain","Rua Xiabre, 58 Trabanca-Sardií±eira, Carril 36.600 Vilagarcia de Arousa, 36618 Vilagarcí_a de Arousa, Pontevedra, Spain","[42.61463699999999, -8.759989]",
"Kirchmayr Winery, Austria",Austria,"[47.516231, 14.550072]",
"Cellers Sant Rafel Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"XYZin Winery, US","2306 Magnolia Dr, Healdsburg, CA 95448, USA","[38.6045893, -122.8723053]",
"Cloudline Winery, US",,,
"Coleccion Privada Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Cuyen Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Vin Nostro Winery, US",,,
"Pacific Oasis Winery, US","2829 US-50, Beaufort, MO 63013, USA","[38.4322575, -91.1160261]",
"Banfi Winery, Italy","Castello di Poggio alle Mura, 53024 Montalcino SI, Italy","[42.980621, 11.400659]",
"Atmosphere Winery, US","9983 N US-259, Broken Bow, OK 74728, USA","[34.1612865, -94.7588062]",
"Bodegas Mí_hler-Besse Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Chí¢teau Fonguillon Winery, France","98 Avenue de Mont de Marsan, 33850 Lí©ognan, France","[44.715818, -0.609204]",
"Pascal & Nicolas Reverdy Winery, France","Maimbray, 18300 Sury-en-Vaux, France","[47.359401, 2.797169]",
"Yali Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Pasion de Tango Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Dutch Bill Creek Winery, US","2829 US-50, Beaufort, MO 63013, USA","[38.4322575, -91.1160261]",
"Protopapas Winery, Greece","Demos Orfanou, Kavala, GREECE","[40.863873, 24.111733]",
"Pepperwood Grove Winery, US","10915 High Valley Rd, Clearlake Oaks, CA 95423, USA","[39.0462896, -122.709336]",
"Vií±a Casas del Bosque Winery, Chile","Hijuelas NŒ_ 2 Ex Fundo - Sta Rosa, Casablanca, Regií_n de Valparaí_so, Chile","[-33.3174912, -71.4349889]",
"Guelbenzu Winery, Chile","Parrones S/N Fundo Peralillo, VI Region Perlalillo , CHILE","[-34.420862, -71.491377]",
"MacMurray Ranch Winery, US","9015 Westside Rd, Healdsburg, CA 95448, USA","[38.5219387, -122.897256]",
"Bartenura Winery, Italy",Italy,"[41.87194, 12.56738]",
"Louis Chalvon Winery, France",France,"[46.227638, 2.213749]",
"Althe'a Winery, Italy","Via Confin 57, 31029 Vittorio Veneto (TV), Veneto","[45.949428, 12.259912]",
"eco.love Winery, New Zealand",New Zealand,"[-40.900557, 174.885971]",
"Thymiopoulos Winery, Greece",Greece,"[39.074208, 21.824312]",
"Jean-Claude Debeaune Winery, France",,"[46.227638, 2.213749]",
"Ousterhout Winery, US",,,
"Finca La Mata Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Clarendelle Winery, France","Pavillon Dillon 3, rue Avison / 33400, Talence","[44.854147, -0.545586]",
"Lion des Aubrots Winery, France",France,"[46.227638, 2.213749]",
"Ron Rubin Winery, US",,,
"Gordon Estate Winery, US","671 Levey Rd, Pasco, WA 99301, USA","[46.279473, -118.845608]",
"Barden Winery, US","813 Anacapa St, Santa Barbara, CA 93101, USA","[34.4206761, -119.6993188]",
"Eliseo Silva Winery, US",,,
"Mayoral Winery, Spain","N-122, km 325,6, 47350 Quintanilla de On_simo, Valladolid, Spain","[41.6238343, -4.3269702]",
"II Moons Winery, US","19203 Old U.S. 40, Higginsville, MO 64037, USA","[39.0003838, -93.75373160000001]",
"Domaine Drouhin Oregon Winery, US","6750 NE Breyman Orchards Rd, Dayton, OR 97114, USA","[45.2655399, -123.0556336]",
"Mvemve Raats Winery, South Africa","Raats Family Wines, Vlaeberg Rd, Stellenbosch, Cape Town, 7601, South Africa","[-33.9715529, 18.7482468]",
"Ch.igai Takaha Winery, US",United States,"[37.09024, -95.712891]",
"Cru Winery, US","20146 Rd 21, Madera, CA 93637, USA","[37.0409082, -120.1662797]",
"Chí¢teau la Petite Roque Winery, France",France,"[46.227638, 2.213749]",
"Chí¢teau le Castellot Winery, France","2290 S French Rd, Lake Leelanau, MI 49653, USA","[44.9484416, -85.7551398]",
"Gunsight Rock Winery, US",,,
"The Full Winery, US","5050 US-129, Cleveland, GA 30528, USA","[34.636856, -83.82958300000001]",
"The Boneyard Winery, US","5050 US-129, Cleveland, GA 30528, USA","[34.636856, -83.82958300000001]",
"Coyote Creek Winery, US","9564 N 429 Rd, Adair, OK 74330, USA","[36.4456826, -95.36289909999999]",
"Iter Winery, US",,,
"Incognito Winery, US","4580 CA-12, Lodi, CA 95242, USA","[38.1157607, -121.3721358]",
"Chí¢teau le Breton Winery, France","3 Rue des Anciens Combattants, 33460 Soussans, France","[45.0552699, -0.7017551]",
"Rodriguez Sanzo Winery, Spain","Calle Manuel Azaí±a, 9, 47014 Valladolid, Spain","[41.6364066, -4.7653968]",
"Cantine Lanzavecchia Winery, Italy","Localita Cappallotto 5, Serralunga d'Alba (CN), Piemonte","[44.610793, 8.000953]",
"Coldisole Winery, Italy",Italy,"[41.87194, 12.56738]",
"Fattoria del Cerro Winery, Italy","Via Grazianella, 5, 53045 Acquaviva SI, Italy","[43.088671, 11.860594]",
"Influence Winery, US","11000 S Woodland St, Olathe, KS 66061, USA","[38.928635, -94.8181795]",
"Chí¢teau Joanin Bí©cot Winery, France","Chäteau Joanin B_cot, 33350 Saint-Philippe-d'Aiguilhe","[44.333054, -0.249329]",
"Tenet Winery, US",,,
"Domaine de Bellene Winery, France","39 Rue du Faubourg Saint-Nicolas, 21200 Beaune, France","[47.0292903, 4.8400977]",
"Nieto Senetiner Winery, Argentina","Guardia Vieja 2000, 5509 Lujíçn de Cuyo, Mendoza, Argentina","[-33.0137858, -68.9100121]",
"Sineann Winery, New Zealand","8400 Champoeg Rd NE, St Paul, OR 97137, USA","[45.245624, -122.888048]",
"Stella Rosa Winery, Italy",Italy,"[41.87194, 12.56738]",
"Beresini Vineyards, US","2064 Gravenstein Hwy N, Sebastopol, CA 95472, USA","[38.4242157, -122.8484378]",
"Claude Baron Winery, France","116 Rue Emile Morlot, Charly sur Marne 02310, Picardie","[48.977127, 3.283259]",
"Siegel Winery, Chile","Palmilla, RegiÑn del Libertador Gral. Bernardo OÍHiggins, Chile","[-34.575795, -71.380006]",
"Spicerack Winery, US","10354 E, 5761, US-290, Fredericksburg, TX 78624, United States","[30.224014, -98.72642499999999]",
"Three Rivers Winery, US","5641 US-12, Walla Walla, WA 99362, USA","[46.050716, -118.457492]",
"Manuel Manzaneque Suíçrez Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Alyris Winery, US",,,
"Ottimino Vineyards, US",United States,"[37.09024, -95.712891]",
"Boomtown Winery, US","1248 Old Milton Hwy, Walla Walla, WA 99362, USA","[46.0243536, -118.3512532]",
"Fort Ross Winery, US","15725 Meyers Grade Rd, Jenner, CA 95450, USA","[38.5113019, -123.1945292]",
"Starling Castle Winery, Germany",Germany,"[51.165691, 10.451526]",
"Temporal Winery, US",,,
"Livius Winery, Spain","Camino de Ventosa NN, 26371 , Ventosa, La Rioja, Spain","[42.407568, -2.628171]",Bodegas Alvia
"Maison Charles PíÂre et Fils Winery, France",France,"[46.227638, 2.213749]",
"Obsession Winery, US","Ironstone Vineyards, 1894 6 Mile Rd, Murphys, CA 95247, USA","[38.120867, -120.467255]",
"Halcon Winery, US","7800 Eastside Rd, Healdsburg, CA 95448, USA","[38.51934130000001, -122.8494858]",
"Dusk to Dawn Winery, US",,,
"Eagle Canyon Winery, US","11920 US-12, Lowden, WA 99360, USA","[46.0564069, -118.5834968]",
"Casa Torres Winery, US",,,
"Layer Cake Winery, US",,,
"Sommavite Brunello di Montalcino, Italy","Montalcino, 53024 Province of Siena, Italy","[43.132531, 11.502605]",
"Scar of the Sea Winery, US",,,
"Stí©phane Aviron Winery, France",France,"[46.227638, 2.213749]",
"Stolo Winery, US",,,
"Meinklang Winery, Austria",,,
"Parker Winery, US","6200 Foxen Canyon Rd, Los Olivos, CA 93441, USA","[34.742742, -120.11879]",
"Ebner-Ebenauer Winery, Austria","Laaer Str. 5, 2170 Poysdorf, Austria","[48.667651, 16.627714]",
"Fontodi Winery, Italy",,,
"Grow Wines, US",,,
"Guado al Tasso Winery, Italy","57022 Bolgheri, Province of Livorno, Italy","[43.204495, 10.612726]",
"Acumen Winery, US",,,
