"ChÃ¢teau Haut Cormier Winery, France","Rue Manon Cormier, 33000 Bordeaux, France","[44.8309624, -0.5915881]",France,Domaine Zind-Humbrecht
"ChÃ¢teau la Guillaumette Winery, France","12 Route de CrÃ©on, 33370 Loupes, France","[44.805726, -0.393844]",Austria,BrÅ¸ndlmayer
"ChÃ¢teau les Roques Winery, France","2 Roques, 33570 Puisseguin, France","[44.94655400000001, -0.0700044]",US,Kunde
"ChÃ¢teau Roc de Boissac Winery, France","Pleniers de Boissac, 33570 Puisseguin, France","[44.940264, -0.075228]",US,Terre Rouge
"David Bruce Winery, US","21439 Bear Creek Rd, Los Gatos, CA 95033, USA","[37.167834, -122.045809]",US,Dutton-Goldfield
"DiStefano Winery, US","18648 142nd Ave NE, Woodinville, WA 98072, USA","[47.7626529, -122.149388]",Australia,D'Arenberg
"Domaine Poli Winery, France",France,"[46.227638, 2.213749]",Chile,Errazuriz
"Domaine Torraccia Winery, France","20137 Lecci, France","[41.6801957, 9.3345142]",Portugal,J. Portugal Ramos
"Global Wines, Portugal","Av. Nossa Sra. das Febres 126, 3430-039 Carregal do Sal, Portugal","[40.4253418, -8.0192069]",US,Seven Hills
"Luke Winery, US","63 Luke Dr, Napa, CA 94558, USA","[38.3426199, -122.330246]",US,Kenwood
"Massimo Ronca Winery, Italy","Via Val di Sona, 7, 37066 Sommacampagna VR, Italy","[45.42088709999999, 10.8324682]",France,Henri de Villamont
"Nelson Neves Winery, Portugal",Portugal,"[39.39987199999999, -8.224454]",US,Martin Ray
"Prophecy Winery, US",,,Germany,Dr. Loosen
"Farina Winery, Italy","202 N Houston St, Granbury, TX 76048, USA","[32.443335, -97.787711]",France,Georges Vigouroux
"Les Vignerons de Tautavel Vingrau Winery, France","24 Rue Jean Badia, 66720 Tautavel, France","[42.8156924, 2.7493482]",US,Rodney Strong
"Domaine du Clos des FÃ©es Winery, France","69 Rue Mal Joffre, 66600 Vingrau, France","[42.84986, 2.776708]",France,Olivier Leflaive
"Finca Tobella Winery, Spain",Spain,"[40.46366700000001, -3.74922]",US,Fenestra
"Quinta Vale Dona Maria Winery, Portugal","Portugal, EM502, Portugal","[41.1638705, -7.511563199999999]",US,Naggiar
"Recchia Winery, Italy","Via Ca' Bertoldi, 30, 37024 Negrar VR, Italy","[45.53921829999999, 10.9362621]",US,Calera
"La Dama Winery, Italy","Via Quintarelli Giovanni, 39, 37024 Negrar VR, Italy","[45.51376, 10.93056]",Portugal,Casca Wines
"Mansfield-Dunne Winery, US","3 Horseshoe Bend, Portola Valley, CA 94028, USA","[37.365861, -122.206848]",France,Joseph Drouhin
"Muirwood Winery, US","12805 Llagas Ave, San Martin, CA 95046, USA","[37.078353, -121.604544]",Chile,Santa Rita
"Nine North Wine Company Winery, US","1140 Townpark Ave #1260, Lake Mary, FL 32746, USA","[28.7893732, -81.35610319999999]",US,J. Lohr
"Tenor Winery, US","6985, 16116 140th Pl NE, Woodinville, WA 98072, United States","[47.743663, -122.1463217]",US,Lamoreaux Landing
"Graveyard Winery, US","6990 Estrella Rd, San Miguel, CA 93451, USA","[35.7175604, -120.6226348]",US,Cameron Hughes
"Hedges Winery, US","6503, 53511 N Sunset Rd, Benton City, WA 99320, United States","[46.293222, -119.448251]",US,Rock Wall
"Jean Reverdy et Fils Winery, France","Route des Petites PerriÃ¨res, 18300 Verdigny, France","[47.35322499999999, 2.816057]",Portugal,Companhia das Quintas
"Killian Winery, US","17153 County Rd 1380, Anadarko, OK 73005, USA","[35.0139761, -98.3246487]",US,Balletto
"Les Vignerons de Tavel Winery, France","Route de la Commanderie, 30126 Tavel, France","[44.0113633, 4.7091436]",US,Waterbrook
"Enzo Boglietti Winery, Italy","Via Fontane, 18a, 12064 La Morra CN, Italy","[44.6366202, 7.9282102]",US,Novelty Hill
"Vega MontÃ¡n Winery, Spain","12447 Montant, CastellÃ_, Spain","[40.0353879, -0.5550358]",US,De Loach
"Cantina del Taburno Winery, Italy","Via Sala, 19, 82030 Foglianise BN, Italy","[41.1546017, 14.6702028]",Israel,Recanati
"Casa Marin Winery, Chile","Camino Lo Abarca - s/n, Cartagena, RegiÃ_n de ValparaÃ_so, Chile","[-33.52446219999999, -71.54439049999999]",Portugal,Dâ€_o Sul
"ChÃ¢teau Bernadotte Winery, France","2 Route de Fournas, 33250 Saint-Sauveur, France","[45.1935344, -0.8009221999999999]",US,Gloria Ferrer
"ChÃ¢teau Brown Winery, France","5 AllÃ©e John Lewis Brown, 33140 LÃ©ognan, France","[44.75845, -0.5908278]",France,Kuentz-Bas
"ChÃ¢teau Deyrem Valentin Winery, France","1 Rue Valentin Deyrem, 33460 Soussans, France","[45.058758, -0.6903574]",Chile,MorandÅ_
"ChÃ¢teau la Cabanne Winery, France","2 Chemin de la Cabanne, 33500 Pomerol, France","[44.931848, -0.210195]",Chile,San Pedro
"ChÃ¢teau Les Palais Winery, France","ChÃ¢teau, Le Palais, 11220 Saint-Laurent-de-la-Cabrerisse, France","[43.1038945, 2.7183182]",France,Domaines Devillard
"Agrinatura Winery, Italy","Contrada S. Agostino, 15, 76123 Andria BT, Italy","[41.174752, 16.277276]",US,Adelsheim
"Rustenberg Winery, South Africa","Rustenberg Farm Rustenberg Road, Off Lelie Street Idaâ€™s Valley, 7600, South Africa","[-33.8956904, 18.8925072]",US,Milbrandt
"Santa Lucia Winery, Italy","Santa Lucia snc, 02047 Via, 02047 Poggio Mirteto RI, Italy","[42.2634898, 12.644431]",US,Sineann
"Stefano Accordini Winery, Italy","37022 Fumane, VR, Italy","[45.566891, 10.867968]",US,Bernardus
"Nanny Goat Winery, New Zealand",New Zealand,"[-40.900557, 174.885971]",France,La Chablisienne
"Tenuta Vitalonga Winery, Italy","Str. Montiano, 05016 Ficulle TR, Italy","[42.8186195, 12.0712608]",US,Willamette Valley Vineyards
"Vera Winery, Portugal","Vila Santa s/n, 7100-149 Estremoz, Portugal","[38.8402416, -7.628929299999999]",US,Buena Vista
"Rontana Winery, Italy","Via Tura, 7, 48013 Brisighella RA, Italy","[44.17641649999999, 11.7079997]",US,Heron Hill
"Tenuta Amalia Winery, Italy","Via Emilia Ponente, 2619, 47522 Cesena FC, Italy","[44.1530512, 12.1989585]",Chile,Santa Alicia
"Roccafiore Winery, Italy","06059 Todi, Province of Perugia, Italy","[42.7867505, 12.4504639]",Portugal,Herdade do Esporâ€_o
"Castelli del Grevepesa Winery, Italy","Via Gabbiano, 34, 50026 San Casciano in Val di Pesa FI, Italy","[43.6306937, 11.2733621]",Chile,Santa Carolina
"Eberle Winery, US","3810 CA-46, Paso Robles, CA 93446, USA","[35.6498338, -120.6281877]",US,Hogue
"Shalestone Winery, US","9681 NY-414, Hector, NY 14841, USA","[42.5550787, -76.86607219999999]",US,L'Ecole No. 41
"Tierce Winery, US","670 NY-14, Penn Yan, NY 14527, USA","[42.731269, -76.972398]",US,Cayuse
"Tornesi Winery, Italy","LocalitÃ  Le Benducce 207, 53024 Montalcino SI, Italy","[43.049802, 11.491621]",France,Bouchard PÂère & Fils
"Veglio Winery, Italy","Via Cappa Dario, 17A, 13853 Lessona BI, Italy","[45.593312, 8.1950179]",Portugal,Aveleda
"ChÃ¢teau de Hauterive Winery, France","ChÃ¢teau de Chambert, Les Hauts Coteaux, 46700 Floressas, France","[44.4484575, 1.1320716]",US,Castle Rock
"Domaine CauhapÃ© Winery, France","64360 Monein, France","[43.3132207, -0.6144583]",US,Schramsberg
"Il Conventino Winery, Italy","Via Ciarliana, 25, 53045 Montepulciano SI, Italy","[43.112652, 11.815241]",US,J Vineyards & Winery
"Peregrine Winery, New Zealand","2127 Gibbston Highway, RD1, Queenstown 9371, New Zealand","[-45.0205955, 168.9513744]",France,Barton & Guestier
"Pietracupa Winery, Italy","Via Trento, 31, 86020 Pietracupa CB, Italy","[41.6824537, 14.5196034]",US,Mercer
"Roblar Winery, US","3010 Roblar Ave, Santa Ynez, CA 93460, USA","[34.649, -120.096078]",US,Marimar Estate
"Sevilen Winery, Turkey",Turkey,"[38.963745, 35.243322]",US,Januik
"Kaella Winery, US","18800 142nd Ave NE #5b, Woodinville, WA 98072, USA","[47.7639082, -122.1498192]",US,Abacela
"Leoness Winery, US","38311 De Portola Rd, Temecula, CA 92592, USA","[33.5239087, -117.0184667]",US,Pride Mountain
"Luna Beberide Winery, Spain","Calle el Foyo, 24540 Cacabelos, LeÃ_n, Spain","[42.6001623, -6.7309797]",France,Henri Bourgeois
"Maison Champy Winery, France","5 Rue du Grenier Ã€ Sel, 21200 Beaune, France","[47.024716, 4.84085]",US,Morgan
"Domaine Chantal Lescure Winery, France","34 Rue Thurot, 21700 Nuits-Saint-Georges, France","[47.13548670000001, 4.9493997]",US,Dry Creek Vineyard
"Podere La Vigna Winery, Italy","43Â°05'58.1""N 11Â°33'35.7""E, 53024 Montalcino SI, Italy","[43.097151, 11.558943]",US,Duckhorn
"Poggio Rubino Winery, Italy","SP Castiglion del Bosco, 53024 Montalcino SI, Italy","[43.0425862, 11.4661589]",US,Loring Wine Company
"San Filippo Winery, Italy","53024 Montalcino, Province of Siena, Italy","[43.044797, 11.533591]",Germany,Maximin GrÅ¸nhÅ user
"Lazzeretti Winery, Italy","Via Gattoli, 9, 53024 Montalcino SI, Italy","[43.056895, 11.493057]",US,Clos La Chance
"Locati Cellars Winery, US","6 W Rose St, Walla Walla, WA 99362, USA","[46.0677004, -118.3403735]",Portugal,Quinta do Casal Branco
"Mauro Sebaste Winery, Italy","Via Giuseppe Garibaldi, 222 bis, 12051 Gallo CN, Italy","[44.6493296, 7.978653899999999]",US,Novy
"Merry Cellars Winery, US","1300 NE Henley Court, Pullman, WA 99163, United States","[46.75105, -117.156744]",US,Three Rivers
"Pasquale Pelissero Winery, Italy","Via Crosa, 2, 12052 Neive CN, Italy","[44.7331, 8.1107201]",US,Concannon
"Pinino Winery, Italy","LocalitÃ¡ Pinino num. 327, 53024 Montalcino SI, Italy","[43.067821, 11.474704]",US,Domaine Serene
"Tassi Winery, Italy","Str. della Montona, 19, 34071 Cormons GO, Italy","[45.9674686, 13.4859324]",US,Raymond
"ChÃ¢teau Ducasse Winery, France","Route de la Chatole Lieu-dit, 33250 Saint-Sauveur, France","[45.1915683, -0.8002904]",US,McManis
"ChÃ¢teau Escot Winery, France","3 Route de Plassan, 33340 Lesparre-MÃ©doc, France","[45.292901, -0.9365431999999999]",US,Sparkman
"ChÃ¢teau Picoron Winery, France","33350 Sainte-Colombe, France","[44.8770549, -0.0677608]",US,Schug
"ChÃ¢teau Reysson Winery, France","33250 Pauillac, France","[45.2249531, -0.7724358]",Chile,Echeverria
"ChÃ¢teau Tanesse Winery, France","ChÃ¢teau de Marsan, 33550 Lestiac-sur-Garonne, France","[44.695265, -0.374554]",US,Kokomo
"GoulÃ©e Winery, France","28 Route du Port de GoulÃ©e, 33340 Valeyrac, France","[45.3897263, -0.9161139]",US,Tamarack Cellars
"Ancien Winery, US","4047 E 3rd Ave, Napa, CA 94558, USA","[38.2976576, -122.2351295]",US,Syncline
"Boheme Winery, US","3625 Main St, Occidental, CA 95465, USA","[38.4070419, -122.9472433]",US,Zaca Mesa
"ChÃ¢teau Durfort-Vivens Winery, France","3 Rue du General de Gaulle, 33460 Margaux, France","[45.0398934, -0.6748538]",US,Talley
"ChÃ¢teau la Dominique Winery, France","1 La Dominique, 33330 Saint-Ã‰milion, France","[44.9204483, -0.1863377]",US,Airfield Estates
"GarmÃ_n Winery, Spain","Camino Ribera, s/n, 47359, Valladolid, Spain","[41.6299243, -4.3607133]",US,King Estate
"Gigi Rosso Winery, Italy","Str. Alba-Barolo, 34, Castiglione Falletto CN, Italy","[44.6379247, 7.969805300000001]",US,Torii Mor
"Rossi Wallace Winery, US","1501 Big Rock Rd, St Helena, CA 94574, USA","[38.5176253, -122.4470831]",US,Wellington
"Block Wines, US","7830-40 St Helena Hwy, Oakville, CA 94562, USA","[38.4366449, -122.401957]",France,L. Tramier & Fils
"ChÃ¢teau Rauzan-SÃ©gla Winery, France","Rue Alexis-Millardet, 33460 Margaux, France","[45.035985, -0.674704]",US,Trisaetum
"La Jota Vineyard, US","3299 Bennett Ln, Calistoga, CA 94515, USA","[38.5994562, -122.6107512]",US,Brander
"Portfolio Winery, US",United States,"[37.09024, -95.712891]",US,Dusted Valley
"ChÃ¢teau LÃ©oville Barton Winery, France","33250 Saint-Julien-Beychevelle, France","[45.1573848, -0.7392487999999999]",US,Navarro
"Herman Story Winery, US","1227 Paso Robles St, Paso Robles, CA 93446, USA","[35.62736, -120.685878]",US,Sojourn
"ChÃ¢teau Pichon Longueville Winery, France","D2, 33250 Pauillac, France","[45.1770493, -0.7516086]",US,MacPhail
"Far Niente Winery, US","1350 Acacia Dr, Oakville, CA 94562, USA","[38.4257839, -122.4031331]",Austria,Winzer Krems
"Le Piane Winery, Italy","1500 E Chestnut Ct unit d, Lompoc, CA 93436, USA","[34.6425931, -120.4397689]",Italy,Tasca d'Almerita
"Macauley Winery, US","3520 Silverado Trail N, St Helena, CA 94574, USA","[38.5470374, -122.489082]",US,Thomas Fogarty
"Camille Giroud Winery, France","3 Rue Pierre Joigneaux, 21200 Beaune, France","[47.0228219, 4.845370099999999]",Chile,Cono Sur
"Domaine de la Pousse d'Or Winery, France","8 Rue de la Chapelle, 21190 Volnay, France","[46.999588, 4.781746]",Germany,Dr. Pauly Bergweiler
"Roberto Sarotto Winery, Italy","Via Ronconuovo 13, 12050 Neviglie CN, Italy","[44.6870398, 8.1331389]",US,Sebastiani
"Germano Angelo Winery, Italy","Frazione Annunziata, 24/a, 12064 La Morra CN, Italy","[44.63505300000001, 7.953368]",US,14 Hands
"Bric Cenciurio Winery, Italy","Via Roma, 24, 12060 Barolo CN, Italy","[44.61021299999999, 7.94138]",US,Babcock
"Baileyana Winery, US","5828 Orcutt Rd, San Luis Obispo, CA 93401, USA","[35.227335, -120.59968]",US,Merry Edwards
"Domaine Jean Foillard Winery, France","69910 VilliÃ©-Morgon, France","[46.164426, 4.690042]",US,K Vintners
"Quinta do Passadouro Winery, Portugal","Lugar do Passadouro, Vale de Mendiz, 5085-101 AlijÃ_, Portugal","[41.235157, -7.531327]",US,Pali
"Felsina Winery, Italy","Via del Chianti, 101, 53019 Castelnuovo Berardenga SI, Italy","[43.349499, 11.501247]",US,St. Francis
"Fritz Winery, US","24691 Dutcher Creek Rd, Cloverdale, CA 95425, USA","[38.73693859999999, -122.9876479]",Argentina,Valentin Bianchi
"Chateau St. Jean Winery, US","8555 Sonoma Hwy, Kenwood, CA 95452, USA","[38.42433150000001, -122.5528584]",France,Lionel Osmin & Cie
"Domaine Chignard Winery, France","69820 Fleurie, France","[46.194457, 4.714797]",US,Kirkland Signature
"Dievole Winery, Italy","fraz, LocalitÃ  Dievole, 6, 53019 Vagliagli SI, Italy","[43.4210111, 11.3596756]",Italy,Mastroberardino
"San Fabiano Calcinaia Winery, Italy","Loc. San Fabiano, 1, 53036 Poggibonsi SI, Italy","[43.44518, 11.216886]",US,Peju
"Mount Langi Ghiran Winery, Australia","80 Vine Rd, Bayindeen VIC 3375, Australia","[-37.315314, 143.144554]",Chile,Caliterra
"Coriole Winery, Australia","Chaffeys Rd, McLaren Vale SA 5171, Australia","[-35.180719, 138.548874]",US,Brian Carter Cellars
"Ata Rangi Winery, New Zealand","14 Puruatanga Rd, Martinborough 5741, New Zealand","[-41.2156998, 175.4679824]",Chile,Lapostolle
"Jean-Paul Thevenet Winery, France","Le Clachet, 69910 VilliÃ©-Morgon, France","[46.164426, 4.690042]",Portugal,Quinta da Alorna
"Santa Helena Winery, Chile","100 Pratt Ave, St Helena, CA 94574, USA","[38.520096, -122.475163]",US,La Crema
"ChÃ¢teau Pierre de Montignac Winery, France","24290 Montignac, France","[45.064332, 1.16138]",US,Glenora
"Clos de Haute-Combe Winery, France","Haute Combe, 69840 JuliÃ©nas, France","[46.249098, 4.704764]",US,Gorman
"Domaine des Nugues Winery, France","Domaine des Nugues, Les Pasquiers, 40 rue de la Serve, 69220 Lancie, France","[46.1740387, 4.7147724]",Portugal,Bacalhâ„¢a Wines of Portugal
"MatanÃ© Winery, Italy","Via Villa, 6, 39040 Montagna BZ, Italy","[46.3220608, 11.2880419]",France,GÅ_rard Bertrand
"Misiones de Rengo Winery, Chile","298, - MorÃ¡n 206, Rengo, RegiÃ_n del Libertador Gral. Bernardo Oâ€™Higgins, Chile","[-34.4066681, -70.8644387]",US,Dr. Konstantin Frank
"Redhawk Winery, US","2995 Michigan City Ln NW, Salem, OR 97304, USA","[44.984079, -123.0910861]",US,Erath
"Seven Bridges Winery, US","2303 N Harding Ave, Portland, OR 97227, USA","[45.539489, -122.6783716]",US,Midnight
"Axios Winery, US","9001 Mendenhall Ct, Columbia, MD 21045, USA","[39.18655700000001, -76.825875]",US,Laetitia
"ChÃ¢teau Bouissel Winery, France","200 Chemin du Vert, 82370 Campsas, France","[43.878495, 1.304832]",France,Dopff & Irion
"ViÃ±edos de Paganos Winery, Spain","Navaridas Errepidea, 0, 01300 Guardia, Araba, Spain","[42.554156, -2.607047]",US,Longoria
"Giuseppe Cortese Winery, Italy","Str. Rabaja, 80, 12050 Barbaresco CN, Italy","[44.7130078, 8.088575]",US,Patz & Hall
"Cent'Anni Winery, US","56 Industrial Way, Buellton, CA 93427, USA","[34.6097723, -120.2019012]",Italy,Marchesi di Barolo
"Domaine GÃ©rard Fiou Winery, France","15 Rue Hilaire Amagat, 18300 Saint-Satur, France","[47.3395616, 2.8539906]",France,Manuel Olivier
"Fattoria Le Pupille Winery, Italy","Piagge Del Maiano 92 A, 58100 Grosseto GR, Italy","[42.7748625, 11.2059394]",US,Rex Hill
"Domaine Jean-Paul Balland Winery, France","10 Rue de Marloup, 18300 Bue, France","[47.316872, 2.788284]",France,Jean-Baptiste Adam
"Sinor-LaVallee Winery, US","550 1st St, Avila Beach, CA 93424, USA","[35.1802729, -120.7352523]",Italy,Tommasi
"Baer Winery, US","19501 144th Avenue Northeast #F100, Woodinville, WA 98072, United States","[47.769636, -122.152442]",Chile,Viâ€“a Bisquertt
"Molnar Family Winery, US","1090 US-206, Shamong, NJ 08088, USA","[39.791358, -74.73673699999999]",US,:Nota Bene
"Bodega Aconquija Winery, Argentina","La Consulta, Mendoza Province, Argentina","[-33.7431681, -69.1210612]",US,Keuka Spring
"Spindrift Cellars Winery, US","810 Applegate St, Philomath, OR 97370, USA","[44.5389267, -123.3750803]",France,Simonnet-Febvre
"Luis Alegre Winery, Spain","Navaridas Errepidea, 6, 01300 Guardia, Araba, Spain","[42.5520387, -2.5881963]",France,Fournier PÂère et Fils
"Farnese Winery, Italy","Via dei Bastioni, 66026 Ortona CH, Italy","[42.3537314, 14.3997978]",US,Adelaida
"Weinert Winery, Argentina","5923, San MartÃ_n, 5509 LujÃ¡n de Cuyo, Mendoza, Argentina","[-32.9834699, -68.8598909]",US,Renwood
"ChÃ¢teau Lamothe Guignard Winery, France","2 Lamothe Ouest, 33210 Sauternes, France","[44.53328339999999, -0.3498351]",Portugal,Quinta da Lagoalva de Cima
"Creed of Barossa Winery, Australia","Hermann Thumm Dr, Lyndoch SA 5351, Australia","[-34.589785, 138.877126]",US,Joseph Swan Vineyards
"Hermann Moser Winery, Austria","L7075 36, 3495 Rohrendorf bei Krems, Austria","[48.4229682, 15.6580208]",Australia,Yalumba
"Lenikus Winery, Austria","Parkring 10, 1010 Wien, Austria","[48.2058697, 16.3785037]",US,Efeste
"Vignobles Berthier Winery, France","route de Cosne, Les Clairneaux, 18240 Sainte-Gemme-en-Sancerrois, France","[47.3941947, 2.8210076]",US,Easton
"Villa Huesgen Winery, Germany","An der Mosel 46, 56841 Traben-Trarbach, Germany","[49.95065, 7.124239999999999]",US,Damiani
"Gradis'ciutta Winery, Italy","LocalitÃ  Giasbana, 32/a, 34070 Giasbana GO, Italy","[45.9634744, 13.5580785]",Germany,Robert Weil
"Niedermayr Josef Winery, Italy","Via Casa di GesÃ_, 15, 39057 Appiano Sulla Strada del Vino BZ, Italy","[46.46301, 11.283206]",Italy,Abbazia di Novacella
"Scott Paul Winery, US","128 S Pine St, Carlton, OR 97111, USA","[45.2937123, -123.1767668]",US,Dunham
"St. Urbans-Hof Winery, Germany","16, UrbanusstraÃŸe, 54340 Leiwen, Germany","[49.8229201, 6.8722501]",Austria,Markus Huber
"Polkura Winery, Chile","MarchigÃ_e, Marchihue, O'Higgins Region, Chile","[-34.3410506, -71.6260193]",US,Canoe Ridge
"Cascina Luisin Winery, Italy","Str. Rabaja, 36, 12050 Barbaresco CN, Italy","[44.71874769999999, 8.0843962]",Germany,Reichsgraf von Kesselstatt
"Castello Gabiano Winery, Italy","Via Gabbiano, 22, 50020 Mercatale In Val di Pesa FI, Italy","[43.6282453, 11.2604592]",Italy,Carpineto
"Domaine FranÃ§oise AndrÃ© Winery, France","7, Rempart Saint-Jean, 21200 Beaune, France","[47.022851, 4.8416558]",US,Murphy-Goode
"Eternal Winery, US","9 S 1st Ave, Walla Walla, WA 99362, USA","[46.0667935, -118.3374387]",US,Mark Ryan
"Harbes Family Vineyard, US","715 Sound Ave, Mattituck, NY 11952, USA","[40.9862652, -72.578206]",Portugal,Cortes de Cima
"Tensley Winery, US","2900 Grand Ave, Los Olivos, CA 93441, USA","[34.665687, -120.114703]",US,Ponzi
"Terroir Al LÃ_mit Winery, Spain","Carrer Baixa de la Font, 12, 43737 Torroja del Priorat, Tarragona, Spain","[41.2124899, 0.8121107]",Austria,Steininger
"Vetus Winery, Spain","Carretera Toro-Salamanca, km. 9-10, 49820 Villabuena del Puente, Zamora, Spain","[41.411427, -5.428278]",Austria,DomÅ ne Wachau
"Vigne dei Mastri Winery, Italy","Strada Loreto, 5a, 14055 Costigliole d'Asti AT, Italy","[44.7795659, 8.1905919]",France,Domaine Faiveley
"Vignobles Bulliat Winery, France","50 Impasse du Colombier, 69910 VilliÃ©-Morgon, France","[46.16646249999999, 4.6783991]",Austria,Loimer
"Arnaud Baillot Winery, France","12 N 5th St, Brooklyn, NY 11249, USA","[40.719387, -73.963276]",US,Flora Springs
"Bargetto Winery, US","3535 N Main St, Soquel, CA 95073, USA","[36.995361, -121.9544656]",US,Firestone
"Douro Family Estates Winery, Portugal","Quinta da Costa de Baixo Gouvinhas 5060-057, Portugal","[41.1656002, -7.6504812]",US,Frank Family
"Ferrero Winery, Italy","Podere Pascena, 53024 Montalcino SI, Italy","[42.97853, 11.428463]",US,Quivira
"ViÃ±as del Vero Winery, Spain","Carretera Naval, Km 3.7, 22300 Barbastro, Huesca, Spain","[42.0611595, 0.0909806]",Portugal,JosÅ_ Maria da Fonseca
"Pago de Carraovejas Winery, Spain","Camino de Carraovejas, s/n, 47300 PeÃ±afiel, Valladolid, Valladolid, Spain","[41.594665, -4.087886999999999]",France,Boeckel
"Corte Pavone Winery, Italy","LocalitÃ  Corte Pavone, 53024 Montalcino SI, Italy","[43.052536, 11.452581]",US,Stephen Ross
"Cupano Winery, Italy","Podere Centine, 31, 53024 Loc. Camigliano, Montalcino SI, Italy","[43.0025699, 11.3909354]",Germany,Leonard Kreusch
"Domaine de la GrenaudiÃ¨re Winery, France","1712 Industrial Way, Lompoc, CA 93436, USA","[34.6422625, -120.436646]",US,Mumm Napa
"Domaine Lecomte Winery, France","105 Rue Saint-ExupÃ©ry, 18520 Avord, France","[47.0402899, 2.6361698]",US,Grgich Hills
"Adega Cooperativa Ponte de Lima Winery, Portugal","Rua Conde de Bertiandos B, 4990-078 Pte. de Lima, Portugal","[41.769125, -8.578869]",Chile,Viu Manent
"Roger et Didier Raimbault Winery, France","18300 Verdigny, France","[47.3524179, 2.7939456]",US,Bonterra
