"Proper Winery, US",United States,"[37.09024, -95.712891]"
"Rudi Pichler Winery, Austria","Marienfeldweg 122, 3610 Wösendorf in der Wachau, Austria","[48.3808516, 15.4519291]"
"Forefathers Winery, US","631 Healdsburg Ave, Healdsburg, CA 95448, USA","[38.617024, -122.87241]"
"Andrew Will Winery, US","12526 SW Bank Rd, Vashon, WA 98070, USA","[47.4501561, -122.4968728]"
"Felipe Rutini Winery, Argentina","Monte Caseros 2625, 5513 Maipú, Mendoza, Argentina","[-32.956537, -68.7449149]"
"Prix Winery, US","Wine-Price Building, 752 Ott St, Harrisonburg, VA 22801, USA","[38.4390846, -78.86959999999999]"
"Soos Creek Winery, US","24012 172nd Ave SE, Kent, WA 98042, USA","[47.3865, -122.1110879]"
"Smith-Madrone Winery, US","4022 Spring Mountain Rd, St Helena, CA 94574, USA","[38.5322882, -122.549057]"
"Rancho Sisquoc Winery, US","6600 Foxen Canyon Rd, Santa Maria, CA 93454, USA","[34.8403479, -120.2100259]"
"Righteous Winery, US","23837 US-385, Hill City, SD 57745, USA","[43.9497417, -103.5225896]"
"Crossbarn by Paul Hobbs Winery, US","3355 Gravenstein Hwy N, Sebastopol, CA 95472, USA","[38.4401811, -122.8581307]"
"Espiritu de Chile Winery, Chile","Unnamed Road,, Río Claro, Región del Maule, Chile","[-35.1506759, -71.2991851]"
"Frenzy Winery, New Zealand","108 McShane Rd, Richmond 7081, New Zealand","[-41.332918, 173.161118]"
"181 Winery, US","181 Vineyard Cir, Sonoma, CA 95476, USA","[38.264717, -122.492709]"
"Phantom Rivers Winery, US","211 E Branch St, Arroyo Grande, CA 93420, USA","[35.1242641, -120.5775386]"
"Provence Rosé Winery, France","Miraval, 83570 Correns, France","[43.473178, 6.0368157]"
"Redtree Winery, US","316 E Wallace St, San Saba, TX 76877, USA","[31.1956583, -98.71877160000001]"
"Shiloh Road Winery, US","16079 M Road, WaKeeney, KS, WaKeeney, KS 67672, United States","[38.95714, -100.041574]"
"Longevity Winery, US","2271 South Vasco Road b, Livermore, CA 94550, United States","[37.6759437, -121.7192298]"
"Lucky Star Winery, US","Lucky Star Dr, Houston, TX 77082, USA","[29.7235488, -95.6583218]"
"La Vierge Winery, South Africa","12 Hemelenaarde Valley Road, Hermanus, 7200, South Africa","[-34.373284, 19.239913]"
"Luis Felipe Edwards Winery, Chile","Unnamed Rd,, Nancagua, Región del Libertador Gral. Bernardo O’Higgins, Chile","[-34.6835368, -71.1722429]"
"MAN Vintners Winery, South Africa",South Africa,"[-30.559482, 22.937506]"
"Nederburg Winery, South Africa","Sonstraal Rd, Paarl, 7646, South Africa","[-33.7206357, 19.0033606]"
"Robertson Winery, South Africa","Voortrekker Road, Robertson, 6705, South Africa","[-33.8104753, 19.8809888]"
"Seresin Winery, New Zealand","85 Bedford Rd, Renwick 7271, New Zealand","[-41.509019, 173.795372]"
"Chasseur Winery, US","2064 Gravenstein Hwy N # 139, Sebastopol, CA 95472, USA","[38.4242157, -122.8484378]"
"Ruinart Winery, France","4 Rue des Crayères, 51100 Reims, France","[49.2447897, 4.054484299999999]"
"Kopke Winery, Portugal","4430 999, Av. de Diogo Leite 312, Vila Nova de Gaia, Portugal","[41.13802039999999, -8.6113694]"
"Albert Morot Winery, France","20 Avenue Charles Jaffelin, 21200 Beaune, France","[47.0260172, 4.824968]"
"Alto Moncayo Winery, Spain","Ctra. Antigua de Borja, 50540 Borja, Zaragoza, Spain","[41.842317, -1.5459435]"
"Ca' del Bosco Winery, Italy","Via Albano Zanella, 13, 25030 Erbusco BS, Italy","[45.5942773, 9.991206199999999]"
"Morgan Winery, US","204 Crossroads Blvd, Carmel-By-The-Sea, CA 93923, USA","[36.536743, -121.909124]"
"Pittacum Winery, Spain","Calle Iglesia, 11, 24546 Arganza, León, Spain","[42.641565, -6.684476999999999]"
"Veuve Doussot Winery, France","1 Rue de Chatet, 10360 Noé-les-Mallets, France","[48.1011733, 4.5713664]"
"Villa Erbice Winery, Italy","Via Villa, 22, 37030 Mezzane di Sotto VR, Italy","[45.489159, 11.1271031]"
"Clos de Chacras Winery, Argentina","Monte Líbano 1025, 5509 Luján de Cuyo, Mendoza, Argentina","[-32.982498, -68.876806]"
"Fog Crest Winery, US","7606 Occidental Rd, Sebastopol, CA 95472, USA","[38.4283921, -122.8420834]"
"Evening Land Winery, US","1326 OR-99W #100, Dundee, OR 97115, USA","[45.2724729, -123.0161062]"
"Gancedo Winery, Spain","Vista Alegre, 24548 Quilós, León, Spain","[42.626319, -6.716546999999999]"
"Septima Winery, Argentina","Ruta Internacional Nº 7 Km. 1061, M5507ETH Agrelo, Mendoza, Argentina","[-33.0915416, -68.9405393]"
"Curtis Winery, US","5249 Foxen Canyon Rd, Los Olivos, CA 93441, USA","[34.7247318, -120.1344812]"
"Grafen Neipperg Winery, Germany","Jägerhausweg 5, 74336 Brackenheim, Germany","[49.1046017, 9.051578899999999]"
"Huber Winery, Germany","Heimbacher Weg 19, 79364 Malterdingen, Germany","[48.16004299999999, 7.812422299999999]"
"François Lurton Winery, Spain","Calle Nueva, 12, 47491 La Seca, Valladolid, Spain","[41.4135633, -4.907782999999999]"
"Zaca Mesa Winery, US","6905 Foxen Canyon Rd, Los Olivos, CA 93441, USA","[34.7720598, -120.1332689]"
"Pondera Winery, US","19501 144th Ave NE, Woodinville, WA 98072, USA","[47.7695573, -122.149491]"
"Royal Oporto Winery, Portugal","4431-952, R. Azevedo Magalhães 314, Vila Nova de Gaia, Portugal","[41.1326972, -8.6010235]"
"Château Barde Haut Winery, France","Château Barde-Haut, 33330 Saint-Christophe-des-Bardes, France","[44.891877, -0.132608]"
"Château Belgrave Winery, France","Darrous, 33112 Saint-Laurent-Médoc, France","[45.1533666, -0.7879594]"
"Château Haut Bessac Winery, France","16250 Bessac, France","[45.4356832, -0.0142052]"
"Castelgiocondo Winery, Italy","53024 Montalcino, Province of Siena, Italy","[43.0391804, 11.4074409]"
"Château Gaillard Winery, France","Route Ambérieu D77, 01500 Château-Gaillard, France","[45.9768579, 5.329613699999999]"
"Château Laurou Winery, France","2250 Route de Nohic, 31620 Fronton, France","[43.8686436, 1.426687]"
"HandCraft Winery, US","20250 Hudson Ranch Rd, Paxico, KS 66526, USA","[39.05420100000001, -96.131722]"
"Joseph Cattin Winery, France","35 Rue Roger Frémeaux, 68420 Vœgtlinshoffen, France","[48.0224427, 7.284550800000001]"
"Domaine de Ménard Winery, France","A Ménard, 32800 Bretagne-d'Armagnac, France","[43.882458, 0.1418]"
"Dominio de la Vega Winery, Spain","Carretera Madrid-Valencia, Km 270, 46390 San Antonio de Requena, Valencia, Valencia, Spain","[39.5145858, -1.1449167]"
"Estate Biblia Chora Winery, Greece","Orfano 640 08, Greece","[40.8118053, 23.9908103]"
"Fattoria dei Barbi Winery, Italy","Loc. Podernovi, 170, 53024 Montalcino SI, Italy","[43.031067, 11.511996]"
"Villa al Cortile Winery, Italy","Unnamed Road,, 53024 Montalcino SI, Italy","[43.0085661, 11.4367505]"
"Viña Requingua Winery, Chile","3390000, 3390000, Sagrada Familia, Región del Maule, Chile","[-35.028736, -71.3436595]"
"Poggio di Sotto Winery, Italy","1 Localita' Castelnuovo dell'Abate, 53024 Montalcino SI, Italy","[42.994048, 11.524683]"
"Pomar Junction Winery, US","5036 S El Pomar Rd, Templeton, CA 93465, USA","[35.5496335, -120.6100622]"
"Purple Heart Wines, US","5500 US-34, Loveland, CO 80537, USA","[40.4071614, -105.1580064]"
"Domino Winery, US","11570 NE Intervale Rd, Carlton, OR 97111, USA","[45.296091, -123.122246]"
"Château Nozières Winery, France","Bru, 46700 Vire-sur-Lot, France","[44.486856, 1.107466]"
"Domaine de Leyre-Loup Winery, France","Eyre, France","[44.551159, -0.8963099]"
"Domaine Fritz Schmitt Winery, France","1 Rue des Châteaux, 67530 Ottrott, France","[48.4565647, 7.4238794]"
"Elqui Wines, Chile","990 NW Brooks St, Bend, OR 97701, USA","[44.0596817, -121.3139235]"
"Fattoria La Lecciaia Winery, Italy","Localita' Vallafrico, Montalcino, Si 53024, Italy","[43.0339074, 11.5201762]"
"Kunde Winery, US","9825 Sonoma Hwy, Kenwood, CA 95452, USA","[38.412206, -122.5398302]"
"Don Miguel Gascón Winery, Argentina","30825 Wiegman Rd, Hayward, CA 94544, USA","[37.61423260000001, -122.0623671]"
"Grove Mill Winery, New Zealand","16 Waihopai Valley Rd, Waihopai Valley 7276, New Zealand","[-41.51628059999999, 173.7976421]"
"Jones of Washington Winery, US","2101 F St SW, Quincy, WA 98848, USA","[47.2334593, -119.8893473]"
"Leonard Oakes Winery, US","10609 Ridge Rd, Medina, NY 14103, USA","[43.2628567, -78.4363532]"
"Mustilli Winery, Italy","Via Caudina, 10, 82019 Sant'Agata Dé Goti BN, Italy","[41.0862693, 14.5026116]"
"Nativ Winery, Italy","Contrada Ruvitiello, 83035 Grottaminarda AV, Italy","[41.06862659999999, 15.0872765]"
"Nickel & Nickel Winery, US","8164 St Helena Hwy, Napa, CA 94558, USA","[38.443241, -122.4067672]"
"Pollak Winery, US","330 Newtown Rd, Greenwood, VA 22943, USA","[38.0345378, -78.7943959]"
"Roadhouse Winery, US","240 Center St, Healdsburg, CA 95448, USA","[38.6102457, -122.8690388]"
"Rutherford Hill Winery, US","200 Rutherford Hill Rd, Rutherford, CA 94573, USA","[38.493681, -122.403795]"
"Taverna Winery, Italy","6885 S Santa Fe Dr, Littleton, CO 80120, USA","[39.5922224, -105.0227425]"
"Molliver Vineyards, US","Molliver Vineyards & Winery, 2046 Waller Rd, Nathalie, VA 24577, USA","[36.903912, -79.115155]"
"Roanoke Vineyards, US","3543 Sound Ave, Riverhead, NY 11901, USA","[40.968097, -72.694679]"
"Bellwether Winery, US","9070 NY-89, Trumansburg, NY 14886, USA","[42.5843301, -76.6709255]"
"Wairau River Winery, New Zealand","11 Rapaura Rd, Blenheim 7273, New Zealand","[-41.4857126, 173.8177478]"
"Wild Meadows Winery, US","34 E Choctaw Ave, McAlester, OK 74501, USA","[34.931727, -95.768776]"
"Henri Schoenheitz Winery, France","1 Rue de Walbach, 68230 Wihr-au-Val, France","[48.05220560000001, 7.205050300000001]"
"Cantina del Barone Winery, Italy","Italy, Via Provinciale S. Michele, 87, 83020 Cesinali AV, Italy","[40.8926797, 14.8381181]"
"Cantine Gulino Winery, Italy","Via Daniele Impellizzeri, 29, 96100 Fanusa SR, Italy","[37.0216657, 15.2843875]"
"Sheldon Winery, US","286 Cabernet Ln, Dobson, NC 27017, USA","[36.364393, -80.768722]"
"Sol Rouge Winery, US","29 Avenue G, San Francisco, CA 94130, USA","[37.8183644, -122.3669173]"
"Szigeti Winery, Austria","Sportplatzgasse 2a, 7122 Gols, Austria","[47.8931225, 16.9103801]"
"Tre Nova Winery, US","1191 Leesburg Rd, Mercer, PA 16137, USA","[41.14008920000001, -80.15716359999999]"
"Benmarl Winery, US","156 Highland Ave, Marlboro, NY 12542, USA","[41.592857, -73.98220200000002]"
"Il Grillesino Winery, Italy","Via San Vito di Sotto, 50026 Calzaiolo FI, Italy","[43.6340508, 11.1765583]"
