USAF,WBAN,STATION NAME,CTRY,ST CALL,LAT,LON,ELEV(M),BEGIN,END
10303,99999,TROMSO/SKATTURA,NO,,69.700000,19.017000,14,19510101,20150108
10320,99999,OVERBYGD,NO,,69.017000,19.283000,78,19730101,20140523
10330,99999,TORSVAG FYR,NO,,70.250000,19.500000,24,19730101,20180607
10340,99999,FUGLOYKALVEN FYR,NO,,70.317000,20.150000,38,19871202,20140523
10350,99999,LYNGEN GJERDVASSBU,NO,,69.567000,20.100000,710,19730101,20180619
10360,99999,NORDNESFJELLET,NO,,69.567000,20.433000,710,20040510,20180619
10370,99999,SKIBOTN 2,NO,,69.383000,20.283000,20,19730101,20180619
10400,99999,SKJERVOY,NO,,70.033000,20.983000,15,19730101,19780927
10410,99999,NORDREISA-OYENG,NO,,69.733000,21.017000,5,19730101,20140523
10420,99999,HASVIK-SLUSKFJELLET,NO,,70.600000,22.450000,438,20080917,20180619
10430,99999,ROGNSUNDET,NO,,70.417000,22.817000,10,19730101,20180619
10435,99999,HASVIK,NO,,70.483000,22.150000,7,19750515,20111014
10440,99999,HASVIK,NO,ENHK,70.487000,22.140000,6.4,20110928,20180619
10450,99999,NORDSTRAUM I KVAENANGEN,NO,,69.833000,21.883000,6,19730101,20180619
10455,99999,,,,,,,19741117,19750904
10460,99999,SORKJOSEN,NO,ENSR,69.787000,20.959000,4.9,19750905,20180619
10470,99999,KAUTOKEINO II,NO,ENKA,69.017000,23.067000,307,19730101,20180619
10490,99999,ALTA,NO,ENAT,69.976000,23.372000,2.7,19730101,20180619
10510,99999,SUOLOVUOPMI,NO,,69.583000,23.533000,374,19730102,20140523
10520,99999,HAMMERFEST AP,NO,ENHF,70.683000,23.683000,81,19401008,20180619
10530,99999,HAMMERFEST RADIO,NO,,70.683000,23.683000,70,19730101,19871226
10550,99999,FRUHOLMEN FYR,NO,,71.100000,23.983000,14.2,19310101,20180619
10570,99999,CUOVDDATMOHKKI,NO,,69.367000,24.433000,286,19730101,20180619
10580,99999,SUOLOVUOPMI LULIT,NO,,69.567000,23.533000,381,20050218,20180619
10590,99999,BANAK,NO,ENNA,70.069000,24.973000,7.6,19730101,20180619
10610,99999,BRENNELV,NO,,70.067000,25.117000,34,19730101,19840707
10617,99999,OSEBERG,NO,,,,,19890101,19901001
10620,99999,HOPEN ISLAND,NO,ENHO,76.500000,25.067000,10,19550101,20180619
10630,99999,KISTRAND III,NO,,70.450000,25.217000,6,19730101,19870715
10650,99999,KARASJOK,NO,,69.467000,25.517000,133,19730101,20180619
10660,99999,HELNES FYR,NO,,71.067000,26.233000,33,19730101,20040619
10670,99999,LEVAJOK-EVJEN,NO,,69.900000,26.417000,112,19730103,19820924
10671,99999,LEVAJOK-EVJEN,NO,,69.900000,26.417000,112,20070307,20070307
10680,99999,HONNINGSVAG/VALAN,NO,ENHV,71.017000,25.983000,14,19800604,20180619
10720,99999,,,,,,,19740227,19740227
10740,99999,MEHAMN,NO,ENMH,71.033000,27.833000,13,19750905,20180619
10750,99999,RUSTEFJELBMA,NO,,70.400000,28.200000,11.2,19730101,20130531
10760,99999,TANABRU,NO,,70.217000,28.167000,32,20121121,20180619
10780,99999,SLETTNES FYR,NO,,71.100000,28.233000,10,19730101,20180619
10820,99999,NYRUD,NO,,69.150000,29.250000,56,19730919,20180619
10830,99999,BERLEVAG,NO,ENBV,70.867000,29.033000,13,19750905,20180619
10840,99999,PASVIK,NO,,69.450000,30.033000,27,19730101,20180619
10850,99999,BUGOYFJORD,NO,,69.850000,29.417000,8,19730101,19781008
10860,99999,BATSFJORD,NO,ENBS,70.600000,29.693000,149.4,20110928,20180619
10875,99999,HEIMDAL OIL PLATFORM,NO,ENHM,59.567000,2.217000,90,20110101,20180619
10876,99999,NORNE OIL PLATFORM,NO,ENNE,66.017000,8.083000,90,20110101,20180619
10877,99999,TROLL A  OIL PLATFORM,NO,ENQA,60.633000,3.717000,90,20110101,20180619
10878,99999,SNORRE A  OIL PLATFORM,NO,ENSE,61.450000,2.133000,90,20110101,20180619
10879,99999,SNORRE B  OIL PLATFORM,NO,ENQR,61.533000,2.200000,90,20110101,20180619
10880,99999,VADSO,NO,ENVD,70.067000,29.850000,39,19750905,20180619
10881,99999,NARVIK III/FRAMNES,NO,,68.467000,17.500000,23,20050405,20111020
10882,99999,ROROS,NO,ENRO,62.578000,11.342000,626.1,20050405,20180619
10883,99999,SANDANE/ANDA,NO,,61.833000,6.117000,60,20050405,20111014
10884,99999,GEITERYGGEN,NO,ENSN,59.185000,9.567000,141.1,20050405,20151109
10885,99999,BATSFJORD,NO,,70.600000,29.733000,153,19940718,20111014
10886,99999,SLEIPNER A OIL PLATFORM,NO,ENSL,58.367000,1.900000,30,20050405,20180619
10887,99999,TROLL C OIL PLATFORM,NO,ENQC,60.886000,3.610000,20,20110512,20180619
10890,99999,HOYBUKTMOEN,NO,ENKR,69.726000,29.893000,86.3,19401101,20180619
10920,99999,MAKKAUR FYR,NO,,70.700000,30.083000,9,19730101,20180619
10970,99999,SVARTNES,NO,,70.350000,31.050000,12,19930209,20111014
10980,99999,VARDO,NO,,70.367000,31.100000,15,19310103,20180619
10985,99999,,,,,,,19741117,19750904
10986,99999,,,,,,,19741117,19750904
10987,99999,,,,,,,19741117,19750904
10990,99999,VARDO AP / SVARTNES,NO,ENSS,70.355000,31.045000,12.8,20110928,20180619
11010,99999,BOGUS NORWEGIAN,NO,,,,,19851202,20070307
11020,99999,SKLINNA FYR,NO,,65.200000,11.000000,16,19750228,20180619
11025,99999,HEIDRUN,NO,ENHE,65.333000,7.317000,80,19990424,20180619
11030,99999,LEKA,NO,,65.100000,11.700000,47,19730101,20070307
11040,99999,ROTVAER,NO,,68.367000,15.950000,8,20070605,20080817
11050,99999,ROTVAER,NO,,68.367000,15.950000,8,19730101,20180619
11051,99999,SKOMVAER (LGT-H),NO,,67.417000,11.883000,18,20070307,20070307
11060,99999,ROEST III,NO,,67.517000,12.100000,2,19280101,20081204
11070,99999,ROST (NOR-AFB),NO,ENRS,67.517000,12.100000,4,19880303,20180619
11080,99999,VEGA-VALLSJO,NO,,65.700000,11.850000,9.1,19910801,20180619
11090,99999,SKALVAER,NO,,65.867000,12.183000,6,19730101,19800910
11100,99999,YTTERHOLMEN FYR,NO,,66.000000,11.683000,33,19961201,20050319
11110,99999,BRONNOYSUND,NO,,65.467000,12.217000,5,19730116,20070307
11120,99999,BRONNOY,NO,ENBN,65.461000,12.218000,7.6,19730101,20180619
11130,99999,GLOMFJORD,NO,,66.800000,13.983000,39,20040406,20091216
11133,99999,DAGALI,NO,ENDI,60.417000,8.513000,798,19860509,20030427
11140,99999,REIPA,NO,,66.900000,13.633000,8,20090702,20180619
11150,99999,MYKEN,NO,,66.767000,12.483000,13,19730101,20180619
11160,99999,STOKKA,NO,ENST,65.950000,12.467000,17.1,19730401,20180619
11170,99999,TJOTTA,NO,,65.817000,12.417000,21,20040119,20180619
11210,99999,SOLVAER III,NO,,66.367000,12.617000,10,19730101,20180619
11220,99999,KJAERSTAD,NO,ENMS,65.784000,13.215000,72.2,19881014,20180619
11240,99999,SNASA,NO,,64.167000,12.467000,195,20050218,20180619
11310,99999,GLAPEN LIGHTHOUSE,NO,,67.883000,13.050000,31,19730101,19850625
11320,99999,MAJAVATN V,NO,,65.167000,13.367000,319,20080229,20180619
11330,99999,LAKSFORS,NO,,65.617000,13.283000,50,20111129,20180619
11340,99999,MAJAVATN III,NO,,65.183000,13.417000,339,19730101,20070630
11350,99999,SELJELIA,NO,,66.117000,13.583000,123,20111129,20180619
11370,99999,STOTT,NO,,66.933000,13.450000,12,19730806,20070307
11380,99999,TENNHOLMEN (LGT-H),NO,,67.300000,13.500000,14,19850912,20070307
11390,99999,VAEROY HELIPORT,NO,ENVR,67.650000,12.717000,4,20110928,20180619
11410,99999,LEKNES,NO,ENLK,68.150000,13.617000,26,19730620,20180619
11430,99999,DRAG-AJLUOKTA,NO,,68.050000,16.083000,19,20070806,20180619
11440,99999,HELLIGVAER II,NO,,67.400000,13.883000,24,20050315,20180619
11450,99999,KVALNES I LOFOTEN,NO,,68.350000,13.967000,15,19730101,19820504
11460,99999,SKAMDAL,NO,,66.233000,13.883000,5,19730101,20180619
11470,99999,VARNTRESK,NO,,65.833000,14.183000,406,19400907,20180619
11480,99999,STORFORSHEI,NO,,66.383000,14.517000,110,20110616,20180619
11490,99999,RANA-BASMOEN,NO,,66.333000,14.100000,42,19730101,20070228
11500,99999,HJARTASEN,NO,,66.500000,14.950000,251,19730103,20180619
11501,99999,HATTFJELLDAL-KRUTA,NO,,65.683000,14.167000,385,20020312,20020312
11505,99999,,,,,,,19751101,19751130
11510,99999,MOIRANA,NO,ENRA,66.367000,14.300000,70,19730401,20180619
11520,99999,BODO,NO,ENBO,67.269000,14.365000,12.8,19400917,20180619
11530,99999,BODO-VAGONES,NO,,67.283000,14.450000,33,20111003,20140611
11540,99999,LITLOY FYR,NO,,68.583000,14.300000,30,19940406,20170801
11550,99999,BO I VESTERALEN II,NO,,68.633000,14.467000,12,19730101,20041201
11560,99999,BO I VESTERALEN,NO,,68.600000,14.433000,7.6,20040510,20180619
11580,99999,SETSA,NO,,67.167000,15.483000,8,20100114,20180619
11600,99999,SKROVA FYR,NO,,68.150000,14.650000,11,19730101,20180619
11610,99999,SVOLVAER/HELLE,NO,ENSH,68.250000,14.667000,9,19730620,20180619
11620,99999,STORKMARKNES/SKAGEN,NO,ENSK,68.583000,15.017000,3,19730620,20180619
11630,99999,BOLNA,NO,,66.500000,15.250000,549,19730101,19770823
11650,99999,GROTOY,NO,,67.833000,14.783000,6,19730101,19781031
11670,99999,SORTLAND,NO,,68.700000,15.417000,3,19850201,20180619
11680,99999,KLEIVA I SORTLAND,NO,,68.650000,15.283000,23,19730101,20060611
11690,99999,SALTDAL-NORDNES,NO,,66.933000,15.317000,37,19830101,20180619
11691,99999,OVRE SALTDAL,NO,,66.967000,15.317000,26,19730101,19781008
11700,99999,FAUSKE-VETEN,NO,,67.233000,15.317000,165,19730101,19900307
11720,99999,FINNOY I HAMAROY,NO,,68.000000,15.617000,53,19730101,20060311
11730,99999,,,,,,,19730101,19730731
11751,99999,LODINGEN,NO,,68.400000,16.000000,10,20040108,20040108
11760,99999,KONGSVIK,NO,,68.567000,16.267000,25,19730101,19780118
11800,99999,HARSTAD,NO,,68.800000,16.533000,45,20040510,20180619
11820,99999,EVENSKJER,NO,,68.583000,16.583000,7,19730101,19851119
11830,99999,EVENES,NO,ENEV,68.491000,16.678000,25.6,19750905,20180619
11840,99999,SANDSOY I SENJA,NO,,68.933000,16.683000,45,19730101,19780613
11841,99999,SANDSOY,NO,,68.933000,16.683000,45,20070307,20070307
11890,99999,LILAND,NO,,68.483000,16.883000,19,19730102,20050302
11895,99999,,,,,,,19731008,19750904
11910,99999,SKJOMEN-SLETTJORD,NO,,68.283000,17.317000,6,19730101,19961104
11920,99999,STRAUMSNES,NO,,68.417000,17.650000,200,20110203,20180619
11930,99999,NARVIK III/FRAMNES,NO,ENNK,68.467000,17.500000,23,20010706,20170403
11940,99999,NARVIK III,NO,ENNK,68.467000,17.500000,23,19730101,20050405
11960,99999,TENNEVOLL,NO,,68.750000,17.817000,21,19730101,20020808
11980,99999,DIVIDALEN II,NO,,68.783000,19.700000,204,20100114,20180619
11990,99999,SIHCCAJAVRI,NO,,68.750000,23.533000,382,19490101,20180619
12030,99999,KRAKENES,NO,,62.033000,4.983000,41,19310904,20180619
12050,99999,SVINOY LH,NO,,62.333000,5.267000,37.2,19730101,20180619
12070,99999,FISKABYGD,NO,,62.100000,5.583000,41,20040510,20180619
12090,99999,ORSTA-VOLDA/HOVDEN,NO,ENOV,62.183000,6.067000,74,19841211,20180619
12091,99999,ORSTA-VOLDA/HOVD,NO,ENOV,62.183000,6.050000,74,19840910,19841127
12100,99999,VIGRA,NO,ENAL,62.560000,6.110000,21,19730101,20180619
12120,99999,ONA II,NO,,62.867000,6.533000,15,19550101,20180619
12140,99999,REKDAL,NO,,62.650000,6.767000,43,20090112,20180619
12150,99999,HJELVIK MYRBO,NO,,62.620000,7.230000,35,19730101,20090630
12160,99999,HJELVIK I ROMSDAL,NO,,62.617000,7.217000,16,19731226,20020527
12161,99999,GJERMUNDNES,NO,,62.617000,7.167000,49,20040412,20040412
12170,99999,ARO,NO,ENML,62.745000,7.263000,3,19760201,20180619
12180,99999,TAFJORD,NO,,62.233000,7.417000,17,19730101,20180619
12200,99999,MANNEN,NO,,62.450000,7.767000,1294,20100315,20180619
12210,99999,TAGDALEN,NO,,63.050000,9.083000,415,20080115,20180619
12220,99999,,,,,,,19730101,19751231
12230,99999,KVERNBERGET,NO,ENKB,63.112000,7.825000,62.2,19730101,20180619
12240,99999,AALESUND,NO,,62.467000,6.217000,50,19841201,20180619
12250,99999,VEIHOLMEN,NO,,63.517000,7.950000,5,19730101,20180619
12270,99999,INNERDALEN,NO,,62.717000,8.783000,405,19730101,20180619
12273,99999,TINGVOLL-HANEM,NO,,62.833000,8.300000,69,20150108,20150108
12280,99999,SULA,NO,,63.850000,8.467000,6,19730101,20180619
12300,99999,BJORLI,NO,,62.267000,8.200000,579,19730101,20180619
12310,99999,LESJASKOG,NO,,62.233000,8.367000,621,19771030,20080731
12320,99999,VINJEORA II,NO,,62.450000,7.850000,67,19730101,20180619
12330,99999,DOMBAAS,NO,,62.083000,9.117000,638,19360101,20180619
12340,99999,ORKDAL-THAMSHAMN,NO,,63.317000,9.850000,4,20061121,20180619
12350,99999,DOMBAS-KIRKENAER,NO,,62.083000,9.133000,645,19730101,19760602
12360,99999,KJOREMSGRENDE,NO,,62.100000,9.050000,626,20050218,20100104
12370,99999,HITRA,NO,,63.517000,9.117000,13,20050402,20180619
12380,99999,FOKSTUA II,NO,,62.117000,9.283000,974,19730101,20180619
12390,99999,HJERKINN II,NO,,62.217000,9.550000,1012,20100907,20180619
12400,99999,HALTEN FYR,NO,,64.167000,9.400000,16,19850110,20180619
12410,99999,ORLAND,NO,ENOL,63.699000,9.604000,8.5,19730101,20180619
12420,99999,AFJORD II,NO,,63.967000,10.217000,30,20080115,20180619
12430,99999,SONGLI,NO,,63.333000,9.650000,300,19730101,19761119
12450,99999,OPPDAL-SETER,NO,,62.600000,9.667000,606,19760201,20180619
12480,99999,VALLERSUND,NO,,63.850000,9.733000,4,19730101,19751219
12500,99999,FOLLDAL-FREDHEIM,NO,,62.133000,10.000000,694,20110928,20180619
12520,99999,BERKAK-LYNGHOLT,NO,,62.817000,10.017000,475,19730101,20080930
12530,99999,SOKNEDAL,NO,,62.950000,10.183000,299,20090112,20180619
12540,99999,KOTSOY,NO,,62.983000,10.550000,127,20090112,20180619
12570,99999,TRONDHEIM/VOLL,NO,,63.417000,10.450000,131.5,20040406,20180619
12580,99999,TRONDHEIM (TYHOLT),NO,,63.417000,10.433000,113,19730101,19810714
12590,99999,BUHOLMRASA LH,NO,,64.400000,10.450000,18.4,19730101,20180619
12620,99999,NORDOYAN FYR,NO,,64.800000,10.550000,33,19280102,20180515
12650,99999,TYNSET-HANSMOEN,NO,,62.267000,10.733000,482.3,19490101,20180619
12680,99999,,,,,,,19730101,19750125
12700,99999,KVITHAMAR,NO,,63.483000,10.883000,40,20111003,20180619
12710,99999,VAERNES,NO,ENVA,63.458000,10.940000,17.1,19400413,20180619
12720,99999,FROSTA,NO,,63.567000,10.700000,70,20110929,20180619
12730,99999,SELBU,NO,,63.233000,11.017000,160,20071016,20180619
12740,99999,SELBU-STUBBE,NO,,63.200000,11.117000,242,19730101,20061115
12770,99999,STEINKJER,NO,,64.017000,11.450000,80,19730101,20180619
12771,99999,LEVANGER-EGGEN,NO,,63.717000,11.233000,97,19730101,19730216
12780,99999,VERDAL-REPPE,NO,,63.783000,11.683000,83,19850102,20180619
12800,99999,NAMDALSEID-VENGSTAD,NO,,64.133000,11.333000,118,19730101,20081231
12810,99999,NAMSSKOGAN,NO,,64.733000,12.850000,140,20070105,20180619
12820,99999,RORVIK/RYUM,NO,ENRM,64.850000,11.233000,14,19950901,20180619
12823,99999,RORVIK/RYUM,NO,,64.850000,11.233000,14,19910827,19950831
12870,99999,SOLENDET,NO,,62.683000,11.817000,747,20080115,20180619
12880,99999,ROROS,NO,,62.567000,11.383000,630,19730101,20180619
12890,99999,ROROS LUFTHAVN,NO,ENRO,62.583000,11.350000,626,19840909,20050405
12891,99999,ROROS/AIRPORT,NO,ENRO,62.583000,11.383000,626,19790301,19840817
12900,99999,NAMSOS AIRPORT,NO,ENNM,64.467000,11.583000,2,19730401,20180619
12910,99999,GARTLAND,NO,,64.533000,12.383000,95,20090112,20180619
12920,99999,MERAKER-UTSYN,NO,,63.417000,11.700000,240,19730101,20040930
12930,99999,MERAKER-EGGE,NO,,63.417000,11.733000,171,20050215,20180619
12940,99999,,,,,,,19730101,19740629
12950,99999,HOYLANDET,NO,,64.550000,12.150000,27,19730101,20070612
12960,99999,BERG I SNASA,NO,,64.250000,12.417000,127,19730101,19770606
12980,99999,NORDLI-HOLAND,NO,,64.450000,13.717000,433,19730101,20180619
13000,99999,GULLFAKS C,NO,,61.200000,2.267000,78,20010601,20180619
13005,99999,STATFJORD OIL PLATFORM HELIPO,FO,ENSF,61.250000,1.850000,117.7,19841204,20180619
13040,99999,YTTEROYANE FYR,NO,,61.567000,4.683000,25,19840901,20180619
13060,99999,HELLISOY FYR,NO,,60.750000,4.717000,23,19730101,20041229
13070,99999,FEDJE,NO,,60.750000,4.717000,20,20050218,20180619
13080,99999,FURUNESET,NO,,61.300000,5.050000,7,20110928,20180619
13090,99999,KINN ISLAND,NO,,61.567000,4.800000,10,19310104,20051022
13100,99999,FLORO,NO,ENFL,61.584000,5.025000,11.3,19800407,20180619
13110,99999,FLESLAND,NO,ENBR,60.293000,5.218000,51.8,19730101,20180619
13140,99999,FOSSMARK,NO,,60.517000,5.717000,10,20120615,20180619
13150,99999,EVANGER,NO,,60.633000,6.100000,17,20101214,20180619
13160,99999,BERGEN-FREDRIKSBERG,NO,,60.400000,5.317000,40,19730101,19851230
13170,99999,BERGEN/FLORIDA,NO,,60.383000,5.333000,36,19730101,20180619
13180,99999,SANDANE,NO,,61.783000,6.183000,51,20050614,20171231
13190,99999,TAKLE,NO,,61.033000,5.383000,38,19730101,20180619
13200,99999,SANDANE/ANDA,NO,ENSD,61.833000,6.117000,60,19810904,20180619
13210,99999,STRYN,NO,,61.900000,6.550000,208,19730101,20180619
13220,99999,FORDE-TEFRE,NO,,61.467000,5.917000,64,19730101,20171223
13230,99999,BRINGELAND,NO,ENBL,61.393000,5.764000,327,19840502,20180619
13250,99999,MODALEN II,NO,,60.833000,5.950000,114,19730101,20080924
13260,99999,MODALEN III,NO,,60.850000,5.983000,125,20081008,20180619
13270,99999,KVAMSKOGEN-JONSHOGDI,NO,,60.383000,5.967000,455,20061121,20180619
13280,99999,KVAMSKOGEN,NO,,60.400000,5.917000,408,19730101,20060726
13290,99999,KVAMSOY,NO,,60.350000,6.267000,50,20050218,20180619
13300,99999,OMASTRAND,NO,,60.217000,5.983000,6,19730101,20050910
13320,99999,FJAERLAND BREMUSEET,NO,,61.430000,6.770000,3,20060201,20180619
13340,99999,FJERLAND SKARESTAD,NO,,61.433000,6.767000,10,20070413,20070413
13360,99999,BULKEN,NO,,60.650000,6.217000,328,19730101,20180619
13370,99999,VOSSEVANGEN,NO,,60.633000,6.433000,55,20050218,20180619
13380,99999,VANGSNES,NO,,61.167000,6.650000,51,20040706,20180619
13390,99999,VANGSNES,NO,,61.167000,6.650000,53,19730101,20011102
13400,99999,FET I EIDFJORD,NO,,60.420000,7.280000,737,20050726,20180619
13410,99999,EIDFJORD-BU,NO,,60.467000,6.867000,166,19830101,20070227
13420,99999,ULLENSVANG,NO,,60.317000,6.650000,12,19730101,20180619
13440,99999,MJOLFJELL,NO,,60.700000,6.950000,695,19730101,20180612
13450,99999,KLEVAVATNET,NO,,60.717000,7.217000,960,19731007,20180619
13460,99999,MIDTSTOVA,NO,,60.650000,7.267000,1162,20111125,20180619
13470,99999,SOGNDAL HAUKASEN,NO,ENSG,61.156000,7.137000,511,19850118,20180619
13471,99999,SOGNDAL/HAUKASEN,NO,ENSG,61.167000,7.133000,498,19840801,19841217
13500,99999,FINSEVATN,NO,,60.600000,7.533000,1208,20030330,20180619
13510,99999,FINSE III,NO,,60.600000,7.500000,1224,19730102,20011210
13520,99999,SANDHAUG,NO,,60.183000,7.483000,1250,20040107,20180619
13550,99999,LAERDAL IV,NO,,61.100000,7.500000,5,19730101,20180619
13560,99999,FANNARAKI,FO,,61.517000,7.900000,2062,19881125,20140827
13570,99999,HOLLEKOLTEN,NO,,60.867000,8.517000,804.2,19730101,20180619
13580,99999,HEMSEDAL II,NO,,60.850000,8.600000,604,20110929,20180619
13590,99999,GEILO-OLDEBRATEN,NO,,60.533000,8.200000,773,19730101,20180619
13591,99999,HAUGASTOL,NO,,60.517000,7.867000,988,20070307,20070307
13600,99999,BRATA-SLETTOM,NO,,61.900000,7.900000,664,19730101,20180619
13610,99999,GROTLI III,NO,,62.017000,7.667000,872,19730101,20180619
13620,99999,JUVVASSHOE,NO,,61.667000,8.367000,1894,20090626,20180619
13630,99999,,,,,,,19730101,19740906
13640,99999,FILEFJELL,NO,,61.183000,8.117000,955.1,19490101,20180619
13650,99999,BEITOSTOLEN II,NO,,61.251000,8.917000,965,19730404,20180619
13660,99999,SOGNEFJELL,NO,,61.567000,8.000000,1413,19790301,20180619
13670,99999,FAGERNES,NO,,60.983000,9.217000,365.4,19821001,20180619
13671,99999,BEITOSTOLEN,NO,,61.233000,8.933000,828,19730101,19801105
13680,99999,LEIRIN,NO,ENFG,61.016000,9.288000,822,19881014,20180619
13690,99999,ABJORSBRATEN,NO,,60.917000,9.283000,639,19881001,20171230
13700,99999,SKABU,NO,,61.517000,9.400000,928,19730101,20180619
13710,99999,LOKEN I VOLBU,NO,,61.117000,9.067000,521,19730101,20180619
13720,99999,NESBYEN-SKOGLUND,NO,,60.567000,9.133000,167,19730101,20040121
13730,99999,NESBYEN-TODOKK,NO,,60.567000,9.133000,166,19730101,20180619
13740,99999,VEST-TORPA II,NO,,60.933000,10.033000,542,19810501,20180619
13741,99999,,,,,,,19730101,19790810
13743,99999,FAGERNES/LEIRIN   &,NO,,61.000000,9.300000,822,19880105,19880913
13750,99999,KVITFJELL,NO,,61.467000,10.133000,1028,19730101,20180619
13755,99999,GULLFAX (PLATFORM),NO,ENGC,61.033000,2.033000,10,19891115,20180619
13760,99999,GULSVIK II,NO,,60.383000,9.600000,142,19730101,20180619
13780,99999,LILLEHAMMER-SAETHERENGEN,NO,,61.100000,10.467000,239,19730101,20180619
13790,99999,SOR-NESSET,NO,,61.883000,10.150000,739,19730101,20051209
13800,99999,VENABU,NO,,61.650000,10.117000,930,19850110,20180619
13801,99999,KITTILBU,NO,,61.167000,9.967000,816,19741114,19840827
13810,99999,APELSVOLL,NO,,60.700000,10.867000,264,20111003,20180619
13820,99999,KISE,NO,,60.767000,10.800000,128,19730101,20180619
13830,99999,EVENSTAD-DIH,NO,,61.400000,11.080000,255,19730101,20180619
13839,99999,HAMAR / STAFSBERG,NO,ENHA,60.817000,11.067000,223,19870205,19900222
13840,99999,GARDERMOEN,NO,ENGM,60.194000,11.100000,207.6,19400511,20180619
13850,99999,HAMER,NO,,60.817000,11.067000,222.3,20061024,20180619
13860,99999,HAMAR II,NO,,60.800000,11.100000,132,20090701,20180619
13870,99999,FAVANG,NO,,61.450000,10.183000,200,20110929,20180619
13890,99999,RENA AP,NO,,61.183000,11.367000,255.7,19730101,20180619
13910,99999,FLISA,NO,,60.617000,12.017000,188,19730101,20050331
13920,99999,FLISA II,NO,,60.617000,12.017000,185,20050218,20180619
13930,99999,DREVSJO,NO,,61.883000,12.033000,673.5,19730101,20180619
13970,99999,TRYSIL VEGSTASJON,NO,,61.300000,12.267000,361.4,19730101,20180619
14000,99999,EKOFISK,NO,,56.550000,3.217000,48.8,19981223,20180619
14010,99999,FRIGG,NO,,59.983000,2.250000,48,20010601,20070307
14030,99999,UTSIRA FYR,NO,,59.300000,4.867000,56.3,19280102,20180619
14033,99999,EKOFISK OIL PLTFRM,NO,ENEK,56.550000,3.250000,48.8,19810506,20180619
14035,99999,KARMOY,NO,,59.350000,5.217000,23,19751101,19840807
14060,99999,SLATTEROY FYR,NO,,59.917000,5.067000,16,19730101,20180619
14080,99999,KARMOY,NO,ENHD,59.345000,5.208000,26.2,19840909,20180619
14090,99999,SKUDENES,NO,,59.150000,5.250000,7,20050218,20051028
